# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,RYPQAVBIDB,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,20,33
# x,y,z,u,w
1.820122311453870045e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.785481536550230341e+00, 0.000000000000000000e+00, -6.311893714717171575e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
1.735759402053250300e+00, 0.000000000000000000e+00, -1.189715535599751225e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
1.665749625861767003e+00, 0.000000000000000000e+00, -1.940491220092382951e-02, 1.000000000000000000e+00, 1.722603643809274832e-01
1.570011914975153910e+00, 0.000000000000000000e+00, -2.904361690136622598e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
1.444191957755519340e+00, 0.000000000000000000e+00, -4.065382955754036354e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
1.287206502436533784e+00, 0.000000000000000000e+00, -5.350867217363276807e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
1.103548823712568350e+00, 0.000000000000000000e+00, -6.615555946891688022e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
9.041854867190863843e-01, 0.000000000000000000e+00, -7.637847836313382821e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
7.046354498210808392e-01, 0.000000000000000000e+00, -8.175027213592353514e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
5.205553644428381199e-01, 0.000000000000000000e+00, -8.048219739975964737e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
3.632672354300764961e-01, 0.000000000000000000e+00, -7.235340818069718738e-02, 1.000000000000000000e+00, 1.586533649582798411e+00
2.375272085713358849e-01, 0.000000000000000000e+00, -5.993248504279603123e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
1.419815152574111505e-01, 0.000000000000000000e+00, -4.854210558969901390e-02, 1.000000000000000000e+00, 1.827739635619072489e+00
7.237643432983068004e-02, 0.000000000000000000e+00, -3.786697075490557535e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
2.447019886901604865e-02, 0.000000000000000000e+00, -2.369764052140240634e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
8.819999584920011973e-03, 0.000000000000000000e+00, 3.346669039078170593e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
4.717110622811521853e-02, 0.000000000000000000e+00, 6.698574346749015807e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
1.122061941936717822e-01, 0.000000000000000000e+00, 9.770553797182843225e-02, 1.000000000000000000e+00, 2.172260364380927289e+00
2.074039850336393265e-01, 0.000000000000000000e+00, 1.220228326765488008e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
3.357948130937200015e-01, 0.000000000000000000e+00, 1.353138670915561836e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
4.967350597333985429e-01, 0.000000000000000000e+00, 1.381675542125194167e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
6.847737623164602550e-01, 0.000000000000000000e+00, 1.322456060166161129e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
8.883177138938280759e-01, 0.000000000000000000e+00, 1.184332817104782054e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
1.091441810350298969e+00, 0.000000000000000000e+00, 9.938736908273959614e-02, 1.000000000000000000e+00, 3.216336609715709116e+00
1.278406615572827754e+00, 0.000000000000000000e+00, 7.838459872298408904e-02, 1.000000000000000000e+00, 3.415838762408752949e+00
1.438122556530189389e+00, 0.000000000000000000e+00, 5.829366876608425840e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
1.566069250868951102e+00, 0.000000000000000000e+00, 4.082766332030377671e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
1.663388081768665039e+00, 0.000000000000000000e+00, 2.670828470252556083e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
1.734530994139334759e+00, 0.000000000000000000e+00, 1.589712696857737556e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
1.785045059774632126e+00, 0.000000000000000000e+00, 7.951275635530831790e-03, 1.000000000000000000e+00, 3.958266880232111262e+00
1.820122311453870045e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
1.772189643564862083e+00, 3.179882040260926801e-01, 0.000000000000000000e+00, 1.054920242491553140e+00, 0.000000000000000000e+00
1.738765215300442035e+00, 3.179882040260926801e-01, -6.090263259614356328e-03, 1.054920242491553140e+00, 4.173311976788848798e-02
1.690788981446806893e+00, 3.179882040260926801e-01, -1.147940878497548042e-02, 1.054920242491553140e+00, 9.595583006934514658e-02
1.623237468854215493e+00, 3.179882040260927356e-01, -1.872354465630039766e-02, 1.054920242491553140e+00, 1.722603643809274832e-01
1.530861410332696737e+00, 3.179882040260926246e-01, -2.802380409674424047e-02, 1.054920242491553140e+00, 2.765358755368439447e-01
1.409459382636232494e+00, 3.179882040260926801e-01, -3.922630825608041522e-02, 1.054920242491553140e+00, 4.134663504172014781e-01
1.257986185962538528e+00, 3.179882040260926801e-01, -5.162981427427713182e-02, 1.054920242491553140e+00, 5.841612375912467181e-01
1.080777306090381584e+00, 3.179882040260926801e-01, -6.383260727810224910e-02, 1.054920242491553140e+00, 7.836633902842906618e-01
8.884142436712592072e-01, 3.179882040260926801e-01, -7.369658958541057403e-02, 1.054920242491553140e+00, 1.000000000000000000e+00
6.958710366554438087e-01, 3.179882040260926801e-01, -7.887976277103705969e-02, 1.054920242491553140e+00, 1.216336609715709338e+00
5.182545824696304093e-01, 3.179882040260927356e-01, -7.765621413014392460e-02, 1.054920242491553140e+00, 1.415838762408753171e+00
3.664893347332260354e-01, 3.179882040260926801e-01, -6.981285228604740267e-02, 1.054920242491553140e+00, 1.586533649582798411e+00
2.451644359860955802e-01, 3.179882040260926801e-01, -5.782806685455777612e-02, 1.054920242491553140e+00, 1.723464124463156111e+00
1.529736612176084143e-01, 3.179882040260926801e-01, -4.683759258248771512e-02, 1.054920242491553140e+00, 1.827739635619072489e+00
8.581262524272131875e-02, 3.179882040260926801e-01, -3.653734222484868177e-02, 1.054920242491553140e+00, 1.904044169930654951e+00
3.958852849452261513e-02, 3.179882040260926801e-01, -2.286554177402090604e-02, 1.054920242491553140e+00, 1.958266880232111484e+00
1.597755532811164295e-02, 3.179882040260926801e-01, 0.000000000000000000e+00, 1.054920242491553140e+00, 2.000000000000000000e+00
2.448785696652559102e-02, 3.179882040260926801e-01, 3.229156955425692421e-02, 1.054920242491553140e+00, 2.041733119767888294e+00
6.149233554480117159e-02, 3.179882040260926801e-01, 6.463366317572537267e-02, 1.054920242491553140e+00, 2.095955830069344827e+00
1.242438192373752082e-01, 3.179882040260927911e-01, 9.427480956499806330e-02, 1.054920242491553140e+00, 2.172260364380927289e+00
2.160989336401004657e-01, 3.179882040260926246e-01, 1.177382269525992925e-01, 1.054920242491553140e+00, 2.276535875536843889e+00
3.399815605126271234e-01, 3.179882040260926801e-01, 1.305625478238523207e-01, 1.054920242491553140e+00, 2.413466350417201589e+00
4.952706836333016782e-01, 3.179882040260926801e-01, 1.333160564996914432e-01, 1.054920242491553140e+00, 2.584161237591246607e+00
6.767067555140664492e-01, 3.179882040260926801e-01, 1.276020465443661045e-01, 1.054920242491553140e+00, 2.783663390284290440e+00
8.731036382939459939e-01, 3.179882040260926801e-01, 1.142747164191123405e-01, 1.054920242491553140e+00, 3.000000000000000000e+00
1.069095408940088809e+00, 3.179882040260926801e-01, 9.589758573632768679e-02, 1.054920242491553140e+00, 3.216336609715709116e+00
1.249495296377295395e+00, 3.179882040260926801e-01, 7.563229695273553099e-02, 1.054920242491553140e+00, 3.415838762408752949e+00
1.403603102386447032e+00, 3.179882040260927356e-01, 5.624679457551989836e-02, 1.054920242491553140e+00, 3.586533649582798411e+00
1.527057185572856302e+00, 3.179882040260926801e-01, 3.939407555545199058e-02, 1.054920242491553140e+00, 3.723464124463156111e+00
1.620958846007217513e+00, 3.179882040260926801e-01, 2.577047276189760663e-02, 1.054920242491553140e+00, 3.827739635619072267e+00
1.689603702302943544e+00, 3.179882040260926801e-01, 1.533890245793531962e-02, 1.054920242491553140e+00, 3.904044169930655173e+00
1.738344064598252192e+00, 3.179882040260926801e-01, 7.672081321209335905e-03, 1.054920242491553140e+00, 3.958266880232111262e+00
1.772189643564862083e+00, 3.179882040260926801e-01, 0.000000000000000000e+00, 1.054920242491553140e+00, 4.000000000000000000e+00
1.720498932682521964e+00, 6.609074914809166534e-01, 0.000000000000000000e+00, 1.114146371585650552e+00, 0.000000000000000000e+00
